Date,Close
Nov 11 2007,95.1
Nov 18 2007,98.18
Nov 25 2007,88.71
Dec 02 2007,88.28
Dec 09 2007,91.27
Dec 16 2007,93.31
Dec 23 2007,96
Dec 30 2007,97.91
Jan 06 2008,92.69
Jan 13 2008,90.57
Jan 20 2008,90.71
Jan 27 2008,88.96
Feb 03 2008,91.77
Feb 10 2008,95.5
Feb 17 2008,98.81
Feb 24 2008,101.84
Mar 02 2008,105.15
Mar 09 2008,110.21
Mar 16 2008,101.84
Mar 23 2008,105.62
Mar 30 2008,106.23
Apr 06 2008,110.14
Apr 13 2008,116.69
Apr 20 2008,118.52
Apr 27 2008,116.32
May 04 2008,125.96
May 11 2008,126.29
May 18 2008,132.19
May 25 2008,127.35
Jun 01 2008,138.54
Jun 08 2008,134.86
Jun 15 2008,134.62
Jun 22 2008,140.21
Jun 29 2008,145.29
Jul 06 2008,145.08
Jul 13 2008,128.88
Jul 20 2008,123.26
Jul 27 2008,125.1
Aug 03 2008,115.2
Aug 10 2008,113.77
Aug 17 2008,114.59
Aug 24 2008,115.46
Aug 31 2008,106.23
Sep 07 2008,101.18
Sep 14 2008,104.55
Sep 21 2008,106.89
Sep 28 2008,93.88
Oct 05 2008,77.7
Oct 12 2008,71.85
Oct 19 2008,64.15
Oct 26 2008,67.81
Nov 02 2008,61.04
Nov 09 2008,57.04
Nov 16 2008,49.93
Nov 23 2008,54.43
Nov 30 2008,40.81
Dec 07 2008,46.28
Dec 14 2008,33.87
Dec 21 2008,37.71
Dec 28 2008,46.34
Jan 04 2009,40.83
Jan 11 2009,36.51
Jan 18 2009,46.47
Jan 25 2009,41.68
Feb 01 2009,40.17
Feb 08 2009,37.51
Feb 15 2009,38.94
Feb 22 2009,44.76
Mar 01 2009,45.52
Mar 08 2009,46.25
Mar 15 2009,51.06
Mar 22 2009,52.38
Mar 29 2009,52.51
Apr 05 2009,52.24
Apr 12 2009,50.33
Apr 19 2009,51.55
Apr 26 2009,53.2
May 03 2009,58.63
May 10 2009,56.34
May 17 2009,61.67
May 24 2009,66.31
May 31 2009,68.44
Jun 07 2009,72.04
Jun 14 2009,69.55
Jun 21 2009,69.16
Jun 28 2009,66.73
Jul 05 2009,59.89
Jul 12 2009,63.56
Jul 19 2009,68.05
Jul 26 2009,69.45
Aug 02 2009,70.93
Aug 09 2009,67.51
Aug 16 2009,73.89
Aug 23 2009,72.74
Aug 30 2009,68.02
Sep 06 2009,69.29
Sep 13 2009,72.04
Sep 20 2009,66.02
Sep 27 2009,69.95
Oct 04 2009,71.77
Oct 11 2009,78.53
Oct 18 2009,80.5
Oct 25 2009,77
Nov 01 2009,77.43
Nov 08 2009,76.35
Nov 15 2009,76.72
Nov 22 2009,76.05
Nov 29 2009,75.47
Dec 06 2009,69.87
Dec 13 2009,73.36
Dec 20 2009,78.05
Dec 27 2009,79.36
Jan 03 2010,82.75
Jan 10 2010,78
Jan 17 2010,74.54
Jan 24 2010,72.89
Jan 31 2010,71.19
Feb 07 2010,74.13
Feb 14 2010,79.81
Feb 21 2010,79.66
Feb 28 2010,81.5
Mar 07 2010,81.24
Mar 14 2010,80.68
Mar 21 2010,80
Mar 28 2010,84.87
Apr 04 2010,84.92
Apr 11 2010,83.24
Apr 18 2010,85.12
Apr 25 2010,86.15
May 02 2010,75.11
May 09 2010,71.61
May 16 2010,70.04
May 23 2010,73.97
May 30 2010,71.51
Jun 06 2010,73.78
Jun 13 2010,77.18
Jun 20 2010,78.86
Jun 27 2010,72.14
Jul 04 2010,76.09
Jul 11 2010,76.01
Jul 18 2010,78.98
Jul 25 2010,78.95
Aug 01 2010,80.7
Aug 08 2010,75.39
Aug 15 2010,73.46
Aug 22 2010,75.17
